제목,축제 기간,주소,비용,상세 내용
"호수의 가을과 겨울,그리고 루미나리에",2024.10.25 ~ 2025.02.28,서울특별시 송파구 송파나루길 206 송파관광정보센터,무료,"송파구 석촌호수 일대에서 호수의 가을과 겨울 그리고 루미나리에 축제가 개최된다. 2024년도 축제 주제는 ‘Dream, Universe&Love’이다. 송파의 가을과 겨울을 대표하는 계절형 축제인 루미나리에축제는 천혜의 관광자원인 석촌호수에 다양한 경관조명, 빛 조형물, 포토존을 설치하여 빛의 향연을 펼친다. ‘루미나리에’는 조명으로 건축물을 만들거나 치장하는 축제로, 빛의 예술 또는 빛의 조각이라고도 한다. 석촌호수 동호 입구에서 관람객들을 맞이하는 메인 게이트를 시작으로 크고 작은 루미나리에 게이트와 루미나리에터널, 브릿지게이트, 몽환적이고 신비한 느낌의 경관조명들과 포토존이 설치된다. 특히. ‘내가 꾸미는 호수’는 사전공모를 통해 선정된 ‘Dream, Universe&Love’를 주제로한 메시지들이 LED등으로 다시 태어나 호수를 밝히는 조명으로, 주민들의 참여로 만들어졌다. 10월25일(금) 개막식과 불꽃놀이를 시작으로 문화예술 공연과 체험부스, 플리마켓 등의 다채로운 문화행사와 체험도 열린다. 10월26일(토)에는 송파구 캐릭터 하하호호와 함께하는 롯데월드 마칭밴드의 특별한 공연도 준비되어 있다. 특히 올해는 10월26일부터 11월24일 까지 5주간 주말마다 버스킹 마임마술쇼 브레이킹 댄스등의 문화공연과 플리마켓이 열릴 예정으로 다양한 즐길거리가 가득하다.
[행사내용]
1. 경관조명 ? 2024.10.25.(금) ~ 2025.2.28.(목) 127일간
- 루미나리에 빛 조명 게이트(동서호 입구, 동서호 산책로, 석촌호수교)
- 산책로 루미나리에터널, 반딧불이길, 레이저로드, 고보라이트길(동서호 산책로)
- 데크포토존, 내가 꾸미는 호수 등(동서호 산책로 및 데크)

2. 문화행사
- 개막식 축하공연, 불꽃놀이: 2024.10.25.(금) 18:30~
- 푸드트럭: 2024.10.26.(토) ~ 10.27.(일) 12:00~20:00
- 문화공연/플리마켓: 2024.10.26.(토)~11.24.(일) 17:00~19:00(5주간 매주 주말)

3. 체험프로그램
- 체험부스: 2024.10.26.(토)~10.27.(일) 12:00~20:00"
남동 빛의 거리,2024.10.22 ~ 2025.12.31,"인천광역시 남동구 만수동  1069, 만수3지구",무료,"남동 빛의 거리는 지역별 특색 있는 경관을 조성하여 다양한 볼거리를 제공하며, 뿐만 아니라 버스킹, 지역예술인 문화공연 등 다양한 즐길거리도 제공하고 있다. 빛의 거리는 지역주민과 관광객들에게 힐링과 삼의 여유를 선사하고 있다.
[행사내용]
*진행 장소
인천광역시 남동구 복개동로 일원(만수천)
인천광역시 남동구 만수동 1069(만수3지구)
인천광역시 남동구 서창동 754(서창2지구 회전교차로 일원)

1. 버스킹 문화공연 : 가야금 연주, 통기타 보컬, 어쿠스틱 밴드 등
2. 주민자치 발표회 : 지역 주민들이 준비한 각종 프로그램 발표"
토토즐,2024.10.12 ~ 2024.11.30,경기도 안산시 단원구 선감로 101-19 (선감동),무료,"경기창작캠퍼스에서는 10월 12일(토) 부터 11월 30일까지 매주 토요일 ""토토즐 in 경기창작캠퍼스"" 축제가 개최된다. 난타와 줄타기 공연에 더해 플리마켓, 전시회, 교육체험프로그램, 가족영화상영, 푸드트럭 존 운영 등 다채로운 프로그램들이 준비되어 있다.
[행사내용]
* 매주 토요일 진행

1. 메인프로그램
- 난타공연, 전통 줄타기 공연

2. 부대프로그램
- 플리마켓, 전시회, 가족영화상영, 교육 체험 프로그램 등"
서면 빛 축제,2024.10.02 ~ 2025.01.10,부산광역시 부산진구 부전동 서면1번가 일원(중앙대로691번길 및 서면로 일원),무료,"부산 대표 도심관광지인 서면의 대표 관광축제이다. 역동적인 서면에 어울리는 다채로운 테마 연출로 차별화된 볼거리를 제공한다. 형형색색 빛 조형물 및 포토존이 조성되어있으며, 미디어파사드 연출, 소원리본 등 시민참여 프로그램을 운영한다.
[행사내용]
1. 조형물 및 포토존 설치
- 서면로타리 부산탑을 형상화한 아치형 게이트, 백양할배, 호천냥이 벌룬, 기둥형 오브제, 커튼형 시설물와 은하수 파도, 행잉 가로형 조형물, 크리스마스트리, 네온사인 조형물, 포토존 등

2.시민참여프로그램
- 폴라로이드 사진 인화 이벤트"
9.81파크 <구팔일 억새바당>,2024.10.01 ~ 2024.11.30,제주특별자치도 제주시 애월읍 천덕로 880-24,무료,"9.81파크 제주가 가을을 맞이해 반짝이는 은빛 억새를 981% 즐길 수 있는 억새 축제 <구팔일 억새 바당>을 개최한다. ‘제주 억새 군락지’로 유명한 애월읍 어음리 일대에 위치한 9.81파크는 은빛 억새 물결과 탁 트인 제주 바다, 해 질 녘 노을을 한눈에 담으며 그래비티 레이싱을 즐길 수 있는 곳이다. 전용 무료 셔틀 버스를 운영해 제주 공항과 제주 시내에서 억새 포인트 까지 편안히 이동 가능하며, 험난한 등산을 하지 않아도 억새를 감상할 수 있다. 특히 올해는 가을 억새와 바다, 제주 노을을 한 눈에 경험할 수 있도록 한정판 티켓 '선셋 레이싱'을 선보인다. '선셋 레이싱'은 시원한 가을 바람을 맞으며 레이스를 즐기면서 제주의 노을과 억새를 한 눈에 담을 수 있다. 또 가을을 맞이해 매일 아침 신선한 크림을 가득 채워 직접 만드는 수제 크림 찹쌀 도넛 ‘오나츠(ONATZ)’에서는 가을 낙엽 컬러를 담은 '가을 맛 오나츠 3종'을 선보인다. 가을을 대표하는 밤과 사과를 크림 속에 가득 넣은 '알밤 오나츠'와 '애플시나몬 오나츠', 가을 낙엽 컬러를 담은 '황치즈 오나츠'는 9.81파크 제주에서만 한정기간 만나볼 수 있다. 제주산 식재료로 만든 건강한 요리를 맛볼 수 있는 ‘브로콜리지’에서는 가을 맞이 따듯한 음식을 선보인다. 제주 흑돼지 400g을 수비드해 바삭하게 튀겨낸 '흑돼지 400 돈까스'와 제주산 메밀로 만든 국수 위 불고기가 듬뿍 올라가 따듯한 한 끼를 책임질 '바싹불고기 메밀국수'가 준비되어 있다.
[행사내용]
1. 제주에서 억새, 바다, 선셋을 한 번에 즐길 수 있다!
선셋 시간에 맞춰 한정으로 판매되는 '선셋 레이싱' 티켓 구매 시 제주 애월 바다와 억새를 바라보며, 노을을 배경으로 다운힐 레이스 가능!

2. 가을 낙엽 컬러를 담은 도넛, 오나츠 가을 맛 3종 출시!
제주에서만 구매 가능한 수제 크림 찹쌀 도넛 '오나츠'에서 억새 시즌을 맞이해 가을 한정 메뉴인 '알밤 오나츠', ‘애플시나몬 오나츠’, '황치즈 오나츠'를 선보인다. 애월 도넛 맛집으로 소문나 더현대 팝업까지 진행한 오나츠의 가을 맛 3종을 먹어보자!

3. 제주 공항에서 억새 명소 앞으로 무료 배달!
제주 공항 3증에서 전용 무료 셔틀 버스 탑승 시, 제주 시내에서 어음리 억새 명소인 9.81파크까지 순식간에 이동 가능!

4. 억새 보고, 흑돼지 먹고! 맛있는 가을을 한 입에
9.81파크 야외 정원에 위치한 ‘브로콜리지’에서 노을에 반짝이는 억새를 바라보며 흑돼지 400g을 수비드해 바삭하게 튀긴 겉바속촉 '흑돼지 400 돈까스'와 제주산 메밀로 만든 따듯한 '바싹불고기 메밀국수' 맛보자!"
계양 빛축제,2024.09.23 ~ 2025.01.31,인천광역시 계양구 경명대로 지하1089 (계산동),무료,"계양의 대표 가을 축제인 계양 빛 축제, 올해는 '소풍'을 테마로 우주탐험, 바다 숲, 빛의 바다, 빛담길 등 다채로운 콘셉트의 독특한 빛 조형물과 포토존, 경관조명이 가을 밤을 화려하게 밝힌다.
[행사내용]
- 빛 조형물, 경관조명, 포토존 등 설치 이벤트"
마노르블랑 핑크뮬리축제,2024.09.15 ~ 2024.11.30,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,"초등학생 이상부터 1인 1음료 or 입장료
성인 4,000원 / 학생(초등학생~고등학생) 3,000원","마노르블랑에서 핑크뮬리축제의 향연이 시작된다.

마노르블랑은 서귀포시에 위치한 가든 카페이다. 이곳은 작년에 이어 올해에도 핑크뮬리축제를 맞이하고 있다. 축제기간은 9월부터 11월까지이다. 우리나라 최남단에 위치하고 있으며 핑크뮬리가 우리나라에서 가장 빨리 개화중이다.

9월에는 사랑과 정성으로 가꾸어진 핑크뮬리를 마노르블랑에서 볼 수 있다. 또한 산방산과 송악산 사이로 형제섬과 사계앞바다가 보이는 환상적인 조망은 마노르블랑에서만 볼 수 있다. 환상적인 조망과 함께 핑크뮬리 인생샷을 남길 수 있는 다양한 산책로와 포토존이 준비되어 있고 야외 잔디정원에서는 피아노 연주 버스킹을 즐길 수 있다.
[행사내용]
전망좋은 아름다운 정원에서 만나는 핑크뮬리"
피나클랜드 오천만송이 국화축제,2024.09.14 ~ 2024.11.30,충청남도 아산시 영인면 월선길 20-42 피나클랜드,"유료
(평일)대인 13,000원 / 소인 11,000원
(주말,공휴일)대인 15,000원 / 소인 12,000원
소인 : 청소년/어린이/경로/장애인","피나클랜드에서 네번째로 선보이는 가을 오천만송이 국화축제에서 마을 주민들과 함께 직접 가꾼 억만송이의 다양한 가을꽃과 오천만송이 국화꽃이 피나클랜드를 가득 채운다. 월선리를 의미하는 지름 5미터의 대형 국화 달 조형물을 비롯하여 국화터널, 국화탑 등 100여종의 국화 조형물 전시와 함께 다양한 가을꽃들로 가을의 정취를 느낄 수 있다. 주말에는 버블쇼, 사물놀이, 음악회 등 매주 다양한 이벤트를 진행한다. 피나클랜드 내부의 카페 드 피나클에서는 봄꽃에이드, 봄꽃쌍화차 등 특별메뉴와 함께 먹거리장터에서는 다양한 음식들까지 준비되어 오감을 만족시켜준다. 볼거리, 먹을거리, 즐길거리 가득한 피나클랜드에서 가을을 즐길 수 있다.
[행사내용]
1. 메인프로그램 : 오천만송이 국화꽃향기 / 국화 대형 조형물 전시
2. 부대프로그램 : 버블쇼, 마술공연, 밴드공연 등 문화예술공연
3. 고객 참여 프로그램 : 알파카, 꽃사슴, 유산양 동물 먹이주기 체험
4. 기타 내용 : 불꽃축제"
공주 페스티벌,2024.08.24 ~ 2024.12.07,충청남도 공주시 봉황로 75 (반죽동) 제민천 감영길 일대,"입장료 무료
(일부 체험 프로그램 유료 : 프린세스메이커 풀패키지(10,000원)
공주온밤 등불만들기(2,000원), 무드등 캐리커쳐 그리기(5,000원))","2024 공주 페스티벌은 공주시에서 펼쳐지는 공주(Princess) 컨셉의 야간관광 콘텐츠이다. 제민천 감영길 일대에서 펼쳐지는 공주(Princess)컨셉의 야간 퍼레이드, 야간 거리예술제, 야간 플리마켓은 매월 다른 컨셉으로 제민천을 찾아온다. 8월 물의 공주, 9월 빛의 공주, 10월 빛품은 백제의 공주, 11월 상상 속의 공주, 12월 겨울 공주 컨셉으로 제민천 감영길 일대를 색다르게 물들일 예정이다.
[행사내용]
<개최 일정>
2024.8.24 ~ 2024. 12. 7
: 월 1회-8/24, 10/5, 11/16, 12/7

1. 메인프로그램 : 공주(Princess) 컨셉의 야간 퍼레이드
2. 부대프로그램 : 플리마켓, 거리예술제(소규모 공연:마술쇼, LED버블쇼 등)
3. 소비자 참여 프로그램 : 프린세스메이커 패키지(유료), 만들기 체험(유료)"
문화가 있는 날 실버마이크 <전라·제주 권역>,2024.06.26 ~ 2024.12.01,광주광역시 광산구 첨단중앙로182번길 23 (쌍암동),무료,"올해 실버마이크 전라/제주권역은 전 세대에게 삶의 메시지를 제공하고, 모두가 어울릴 수 있는 교류의 장을 만들기 위한 콘셉트로 운영된다. '이른'이라는 주제는 단순히 공연 실력을 뽐내는 자리가 아니라, 그들의 이야기와 열정을 담아 인생에서 가장 빛나는 순간을 지역민과 공유하기 위해 기획된 공연이다.
삶의 많은 부분에 이르렀지만, 그럼에도 멈추기엔 아직 이른 실버예술가의 무대는 그들의 다음 여정을 담고 있는 곳이다. 누구나 겪었을, 누구나 겪게 될 각자의 이야기와 지역의 정서가 버무려진 실버마이크를 통해 전라/제주권역 직주근접지역 곳곳에서 다채로운 음악과 퍼포먼스를 선뵈는 실버예술가를 만나 볼 수 있다.
[행사내용]
실버마이크 '이른; 이르렀지만 아직 이른 당신의 이야기'는 권역내 문화취약지구와 지역을 대표하는 공간에서 아티스트별 공연 및 프로젝트팀 컬래버레이션 공연으로 진행됩니다."
K-푸드 페스티벌 넉넉,2024.05.29 ~ 2025.05.31,서울특별시 종로구 세종대로 지하189 (세종로),무료,"[K-푸드 페스티벌 넉넉]은 한식의 다채로움과 이색적인 맛을 경험하며, 즐거운 시간을 보낼 수 있는 한식특화 음식 축제이다. 15대의 푸드트럭이 김치베이컨치즈전, 호두크림치즈 곶감말이, 김치·쌈장닭꼬치, 누룽지닭강정, 단호박식혜 등의 이색 한식을 선보이며, 주요 연휴 시즌에는 무대 라이브 공연, 수공예품 팝업스토어, 시민 참여 이벤트 등이 진행될 예정이다. 서울 광화문역과 경복궁역 근처에 있으니, 가까운 도심에서 서울의 맛과 멋을 즐길 수 있다.

* 공지사항 및 세부정보: 인스타그램(@knockknock_festival) 또는 홈페이지(knock-knock.kr) 참고
(우천 등 기상상황에 따라 휴장될 수 있으니, 방문 전 인스타그램 또는 홈페이지를 확인해 주세요!)
[행사내용]
1. 15대의 푸드트럭이 선보이는 이색 K-푸드 페스티벌
2. 4구역으로 마련된 식음 및 휴게공간
3. 해치&소울프렌즈 포토존, 하트&넉넉해치 포토존, 코카콜라X서울시 대형 포토월
4. 잔디마당에 마련된 빈백에 누워 감상할 수 있는 넉넉 라이브 무대공연(진행 시, 인스타그램 안내)

* 운영일정: 매주 목~일, 16~21시
※ 11.14.(목)~12.8.(일) 기간 운영시간 변경: 15~20시
※ 먹거리 정보의 메뉴, 가격은 변동될 수 있습니다."
문화가 있는 날 청춘마이크 충청권,2024.05.29 ~ 2024.12.01,대전광역시 유성구 유성대로740번길 46 (장대동),무료,"문화가 있는 날 청춘마이크 충청권 '청춘개화, 모두 다 꽃이야'는 문화체육관광부가 주최하고 지역문화진흥원이 주관하는 지역과 일상에서 누리는 수준 높은 청년예술가 거리공연이다.
국민 문화 향유 기회를 확대하고, 열정과 재능이 있는 청년 예술가들에게 공연 기회 마련 및 홍보 지원, 청년 세대 간의 교류·협력의 경험을 통해 청년예술가로 성장 할 수 있도록 돕고 있다.
올해 청춘 마이크 충청권 공연은 충청도의 높은 자살률이라는 어두운 사회적 이슈를 모티브로 '청춘개화, 모두 다 꽃이야'라는 주제로 문화예술이 주는 치유의 역할을 통해 주민들을 위로하고 응원하는 메시지를 담아 정서적 돌봄과 즐거움이 넘치는 축제 현장이다.
[행사내용]
1. 메인프로그램 : 퓨전국악, 월드뮤직, 집시음악, 국악, 재즈, 전통연희, 대중음악, 마술 등 다양한 청년 예술가들의 공연
2. 부대프로그램 : 다양한 체험, 전시 프로그램, 지역 단체와 연계한 프로그램 진행 예정
3. 기타 내용 : 직접 경험하고 참여할 수 있는 기회를 제공해 모두가 즐길 수 있는 하나의 축제를 만들 예정

퓨전국악, 월드뮤직, 집시음악, 국악, 재즈, 전통연희, 대중음악, 마술 등 다양한 청년 예술가들의 공연과 기존의 단순한 관람 형태의 공연을 넘어 다양한 체험, 전시 프로그램, 지역 단체와 연계한 프로그램을 진행해 직접 경험하고 참여할 수 있는 기회를 제공해 모두가 즐길 수 있는 하나의 축제를 만들 예정이다."
